Crime ID,Offense Datetime,Reported Datetime,UCR Incident Code,Block,Street Name,Street_Address,City,State,ZIP Code,Full_Address,Latitude,Longitude,UCR Category,UCR Description,NIBRS Group,NIBRS Offense Group,Ward,Precinct,ObjectId,x,y
2604027582ME,4/22/2026 6:45:00 PM,4/22/2026 6:55:00 PM,13C,1600,WINCHESTER RD,1600 WINCHESTER RD,MEMPHIS,TN,38116,1600 WINCHESTER RD MEMPHIS TN 38116,35.053,-90.009,ASSAULT,INTIMIDATION,A,CRIMES AGAINST PERSONS,225,RAINES,720980,-10019756.0468118,4171085.9669552
2604027670ME,4/21/2026 1:00:00 AM,4/22/2026 10:40:00 PM,23D,1700,GOWAN DR,1700 GOWAN DR,MEMPHIS,TN,38127,1700 GOWAN DR MEMPHIS TN 38127,35.219,-90.005,LARCENY/THEFT,THEFT FROM A BUILDING,A,CRIMES AGAINST PROPERTY,121,AUSTIN PEAY,720981,-10019310.7688486,4193682.33942212
2604027456ME,4/22/2026 1:05:00 PM,4/22/2026 1:05:00 PM,13C,700,RICHMOND AVE,700 RICHMOND AVE,MEMPHIS,TN,38106,700 RICHMOND AVE MEMPHIS TN 38106,35.111,-90.038,ASSAULT,INTIMIDATION,A,CRIMES AGAINST PERSONS,421,CRUMP,720982,-10022984.3120448,4178975.85060449
2604027634ME,4/22/2026 1:00:00 AM,4/22/2026 9:27:00 PM,13C,800,SPRINGDALE RUN DR,800 SPRINGDALE RUN DR,MEMPHIS,TN,38108,800 SPRINGDALE RUN DR MEMPHIS TN 38108,35.159,-89.974,ASSAULT,INTIMIDATION,A,CRIMES AGAINST PERSONS,426,CRUMP,720983,-10015859.864634,4185509.65701753
2604027420ME,4/22/2026 5:37:00 AM,4/22/2026 6:06:00 AM,13C,4400,DISTRIPLEX CV,4400 DISTRIPLEX CV,MEMPHIS,TN,38110,4400 DISTRIPLEX CV MEMPHIS TN 38110,35.027,-89.939,ASSAULT,INTIMIDATION,A,CRIMES AGAINST PERSONS,921,RIDGEWAY,720984,-10011963.6824562,4167550.94183694
2604027552ME,4/20/2026 2:00:00 PM,4/22/2026 6:01:00 PM,13C,400,E GEORGIA AVE,400 E GEORGIA AVE,MEMPHIS,TN,30104,400 E GEORGIA AVE MEMPHIS TN 30104,35.129,-90.046,ASSAULT,INTIMIDATION,A,CRIMES AGAINST PERSONS,621,NORTH MAIN,720985,-10023874.8679711,4181425.57664619
2604027310ME,4/21/2026 10:45:00 PM,4/21/2026 11:00:00 PM,520,5000,CHESTON AVE,5000 CHESTON AVE,MEMPHIS,TN,38118,5000 CHESTON AVE MEMPHIS TN 38118,35.063,-89.895,WEAPON LAW VIOLATION,WEAPON LAW VIOL,A,CRIMES AGAINST SOCIETY,324,MT MORIAH,720986,-10007065.6248613,4172445.89164452
2604027674ME,4/22/2026 10:33:00 PM,4/22/2026 10:51:00 PM,23C,7900,HWY 64,7900 HWY 64,MEMPHIS,TN,38133,7900 HWY 64 MEMPHIS TN 38133,35.204,-89.797,LARCENY/THEFT,SHOPLIFTING,A,CRIMES AGAINST PROPERTY,825,APPLING FARMS,720987,-9996156.31476359,4191638.60291539
2604027646ME,4/22/2026 9:00:00 PM,4/22/2026 9:48:00 PM,13B,2300,TWAIN AVE,2300 TWAIN AVE,MEMPHIS,TN,38114,2300 TWAIN AVE MEMPHIS TN 38114,35.097,-89.984,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,723,AIRWAYS,720988,-10016973.0595419,4177070.88221001
2604027477ME,4/22/2026 12:00:00 PM,4/22/2026 2:14:00 PM,13C,1300,SYCAMORE VIEW RD,1300 SYCAMORE VIEW RD,MEMPHIS,TN,38108,1300 SYCAMORE VIEW RD MEMPHIS TN 38108,35.162,-89.859,ASSAULT,INTIMIDATION,A,CRIMES AGAINST PERSONS,823,APPLING FARMS,720990,-10003058.1231928,4185918.14787406
2604027755ME,4/23/2026 2:03:00 AM,4/23/2026 2:45:00 AM,240,300,VANCE AVE,300 VANCE AVE,MEMPHIS,TN,38103,300 VANCE AVE MEMPHIS TN 38103,35.135,-90.049,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,A,CRIMES AGAINST PROPERTY,622,NORTH MAIN,720991,-10024208.8264435,4182242.27230941
2604027431ME,4/22/2026 5:00:00 AM,4/22/2026 8:50:00 AM,13B,4000,KNIGHT ARNOLD RD,4000 KNIGHT ARNOLD RD,MEMPHIS,TN,38118,4000 KNIGHT ARNOLD RD MEMPHIS TN 38118,35.065,-89.93,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,321,MT MORIAH,720992,-10010961.8070391,4172717.89657114
2604026852ME,4/20/2026 7:15:00 PM,4/20/2026 8:42:00 PM,23H,3900,AMERICAN WAY,3900 AMERICAN WAY,MEMPHIS,TN,38118,3900 AMERICAN WAY MEMPHIS TN 38118,35.076,-89.933,LARCENY/THEFT,ALL OTHER LARCENY,A,CRIMES AGAINST PROPERTY,321,MT MORIAH,720993,-10011295.7655115,4174214.04281223
2604027653ME,4/21/2026 10:00:00 PM,4/22/2026 10:05:00 PM,23F,800,CYPRESS DR,800 CYPRESS DR,MEMPHIS,TN,38108,800 CYPRESS DR MEMPHIS TN 38108,35.16,-89.983,LARCENY/THEFT,THEFT FROM A MOTOR VEHICLE,A,CRIMES AGAINST PROPERTY,426,CRUMP,720994,-10016861.7400511,4185645.8189624
2604027362ME,4/22/2026 12:57:00 AM,4/22/2026 1:31:00 AM,120,400,MAIN ST,400 MAIN ST,MEMPHIS,TN,38103,400 MAIN ST MEMPHIS TN 38103,35.157,-90.048,ROBBERY,ROBBERY,A,CRIMES AGAINST PROPERTY,625,NORTH MAIN,720997,-10024097.5069527,4185237.3381493
2604027701ME,4/22/2026 3:45:00 PM,4/22/2026 11:39:00 PM,23D,1200,BREEDLOVE ST,1200 BREEDLOVE ST,MEMPHIS,TN,38106,1200 BREEDLOVE ST MEMPHIS TN 38106,35.174,-90.021,LARCENY/THEFT,THEFT FROM A BUILDING,A,CRIMES AGAINST PROPERTY,626,NORTH MAIN,720998,-10021091.8807013,4187552.26199239
2604027509ME,4/22/2026 3:00:00 PM,4/22/2026 4:17:00 PM,23C,3400,AUSTIN PEAY HWY,3400 AUSTIN PEAY HWY,MEMPHIS,TN,38128,3400 AUSTIN PEAY HWY MEMPHIS TN 38128,35.221,-89.911,LARCENY/THEFT,SHOPLIFTING,A,CRIMES AGAINST PROPERTY,124,AUSTIN PEAY,720999,-10008846.736714,4193954.86615698
2604027472ME,4/22/2026 12:40:00 PM,4/22/2026 2:07:00 PM,240,1000,BROWER ST,1000 BROWER ST,MEMPHIS,TN,38111,1000 BROWER ST MEMPHIS TN 38111,35.103,-89.952,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,A,CRIMES AGAINST PROPERTY,726,AIRWAYS,721000,-10013410.8358365,4177887.25717311
2604027526ME,4/22/2026 9:00:00 AM,4/22/2026 5:09:00 PM,13B,2800,S MENDENHALL RD,2800 S MENDENHALL RD,MEMPHIS,TN,38115,2800 S MENDENHALL RD MEMPHIS TN 38115,35.072,-89.885,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,324,MT MORIAH,721001,-10005952.4299534,4173669.96630116
2604027267ME,4/21/2026 8:20:00 PM,4/21/2026 9:28:00 PM,35B,5700,TANGLE OAKS DR,5700 TANGLE OAKS DR,MEMPHIS,TN,38134,5700 TANGLE OAKS DR MEMPHIS TN 38134,35.186,-89.871,DRUG/NARCOTIC,DRUG/NARCOTIC EQUIQ VIOL,A,CRIMES AGAINST SOCIETY,822,APPLING FARMS,721002,-10004393.9570823,4189186.61732546
2604027802ME,4/23/2026 6:33:00 AM,4/23/2026 7:00:00 AM,13B,1600,ORIOLE ST,1600 ORIOLE ST,MEMPHIS,TN,38108,1600 ORIOLE ST MEMPHIS TN 38108,35.178,-89.958,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,526,TILLMAN,721003,-10014078.7527813,4188097.02029472
2604027786ME,4/23/2026 5:00:00 AM,4/23/2026 5:34:00 AM,13B,800,ALICE AVE,800 ALICE AVE,MEMPHIS,TN,38106,800 ALICE AVE MEMPHIS TN 38106,35.094,-90.035,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,722,AIRWAYS,721004,-10022650.3535724,4176662.71725767
2604027615ME,4/22/2026 8:30:00 PM,4/22/2026 8:47:00 PM,13A,1400,PATTON ST,1400 PATTON ST,MEMPHIS,TN,38109,1400 PATTON ST MEMPHIS TN 38109,35.107,-90.054,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,A,CRIMES AGAINST PERSONS,722,AIRWAYS,721005,-10024765.4238975,4178431.54053223
2604027806ME,4/23/2026 7:05:00 AM,4/23/2026 7:23:00 AM,290,1100,KNEY ST,1100 KNEY ST,MEMPHIS,TN,38107,1100 KNEY ST MEMPHIS TN 38107,35.171,-90.023,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,A,CRIMES AGAINST PROPERTY,626,NORTH MAIN,721006,-10021314.5196829,4187143.71085451
2604027504ME,4/21/2026 7:00:00 PM,4/22/2026 4:01:00 PM,13B,2900,FRAYSER BLVD,2900 FRAYSER BLVD,MEMPHIS,TN,3813,2900 FRAYSER BLVD MEMPHIS TN 3813,35.222,-89.966,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,123,AUSTIN PEAY,721012,-10014969.3087076,4194091.13204286
2604027441ME,4/22/2026 11:18:00 AM,4/22/2026 11:50:00 AM,290,3600,TIMBERLINE DR,3600 TIMBERLINE DR,MEMPHIS,TN,38128,3600 TIMBERLINE DR MEMPHIS TN 38128,35.25,-89.941,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,A,CRIMES AGAINST PROPERTY,125,AUSTIN PEAY,721013,-10012186.3214378,4197907.25885542
2604027777ME,4/23/2026 1:00:00 AM,4/23/2026 5:08:00 AM,240,4800,CHUCK AVE,4800 CHUCK AVE,MEMPHIS,TN,38118,4800 CHUCK AVE MEMPHIS TN 38118,35.057,-89.902,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,A,CRIMES AGAINST PROPERTY,325,MT MORIAH,721014,-10007844.8612969,4171629.91684481
2604027627ME,4/22/2026 8:35:00 PM,4/22/2026 9:19:00 PM,23C,3100,S PERKINS RD,3100 S PERKINS RD,MEMPHIS,TN,38118,3100 S PERKINS RD MEMPHIS TN 38118,35.062,-89.906,LARCENY/THEFT,SHOPLIFTING,A,CRIMES AGAINST PROPERTY,325,MT MORIAH,721015,-10008290.1392601,4172309.89168018
2604027756ME,4/23/2026 1:44:00 AM,4/23/2026 2:45:00 AM,13C,4100,SECOND NORTHSIDE DR,4100 SECOND NORTHSIDE DR,MEMPHIS,TN,38127,4100 SECOND NORTHSIDE DR MEMPHIS TN 38127,35.232,-90.014,ASSAULT,INTIMIDATION,A,CRIMES AGAINST PERSONS,121,AUSTIN PEAY,721016,-10020312.6442657,4195453.88326453
2604027677ME,4/22/2026 9:30:00 PM,4/22/2026 10:53:00 PM,220,1200,AGNES PL,1200 AGNES PL,MEMPHIS,TN,38104,1200 AGNES PL MEMPHIS TN 38104,35.125,-90.021,BURG/BREAK & ENTER,BURG/BREAK & ENTER,A,CRIMES AGAINST PROPERTY,422,CRUMP,721018,-10021091.8807013,4180881.14629952
2604027726ME,4/22/2026 11:55:00 PM,4/23/2026 1:05:00 AM,23C,1700,SYCAMORE VIEW RD,1700 SYCAMORE VIEW RD,MEMPHIS,TN,38134,1700 SYCAMORE VIEW RD MEMPHIS TN 38134,35.173,-89.87,LARCENY/THEFT,SHOPLIFTING,A,CRIMES AGAINST PROPERTY,822,APPLING FARMS,721019,-10004282.6375915,4187416.07660477
